Felix Lee Mitchell|2|7|0|No Stat|No Stat|No Stat|Orthodox|No Stat|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Damir Mirenic|9|4|0|"6' 0"""|185 lbs.|No Stat|Orthodox|Aug 02, 1974|0.84|50%|9.86|35%|0.00|0%|0%|0.0
Kazuo Misaki|25|11|2|"5' 8"""|183 lbs.|No Stat|Orthodox|Apr 25, 1976|2.85|40%|2.74|63%|0.72|38%|51%|0.6
Mario Miranda|14|7|0|"6' 3"""|185 lbs.|"74"""|Orthodox|Jul 12, 1979|1.96|54%|2.46|36%|1.02|60%|54%|0.0
Vitor Miranda|12|5|0|"6' 1"""|185 lbs.|"77"""|Orthodox|Mar 10, 1979|2.98|45%|2.95|58%|0.95|55%|50%|0.2
Juan Miranda|7|5|0|No Stat|155 lbs.|No Stat|No Stat|No Stat|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Stipe Miocic|20|4|0|"6' 4"""|240 lbs.|"80"""|Orthodox|Aug 19, 1982|4.82|53%|3.82|54%|1.86|34%|68%|0.0
Mike Minniger|0|0|0|No Stat|No Stat|No Stat|No Stat|No Stat|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Carlton Minus|10|3|0|"5' 10"""|170 lbs.|"75"""|Orthodox|Apr 26, 1993|3.50|40%|4.97|50%|0.00|0%|58%|0.0
Frank Mir|18|11|0|"6' 3"""|264 lbs.|"79"""|Southpaw|May 24, 1979|2.18|47%|3.84|38%|2.02|40%|54%|2.0
Darrick Minner|26|12|0|"5' 7"""|145 lbs.|"69"""|Orthodox|Apr 28, 1990|2.96|66%|1.63|40%|3.11|70%|57%|4.0
Adam Milstead|8|4|0|"6' 3"""|205 lbs.|"76"""|Orthodox|Jul 03, 1987|3.85|46%|4.79|43%|0.00|0%|64%|0.0
Vitaly Minakov|20|0|0|"6' 2"""|249 lbs.|No Stat|No Stat|Feb 06, 1985|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Ikuhisa Minowa|60|42|8|"5' 9"""|181 lbs.|No Stat|Orthodox|Jan 12, 1976|0.88|40%|1.66|49%|1.82|41%|5%|1.9
Che Mills|16|10|0|"6' 1"""|170 lbs.|"76"""|Orthodox|Sep 29, 1982|2.08|52%|2.87|43%|1.18|66%|58%|0.0
Alberto Mina|13|1|0|"6' 0"""|170 lbs.|"77"""|Orthodox|May 02, 1982|3.23|38%|3.70|47%|1.85|20%|50%|0.0
Mo Miller|6|0|0|"5' 8"""|135 lbs.|"72"""|Orthodox|Aug 10, 1992|1.87|45%|1.33|60%|4.00|80%|0%|0.0
Eddy Millis|0|2|0|"6' 1"""|185 lbs.|No Stat|No Stat|No Stat|0.00|0%|3.36|22%|0.00|0%|0%|7.2
Aaron Miller|14|10|0|"5' 9"""|145 lbs.|No Stat|No Stat|No Stat|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Micah Miller|20|8|0|"6' 0"""|145 lbs.|No Stat|Orthodox|Feb 14, 1987|1.33|33%|2.15|54%|0.98|37%|21%|2.0
Henry Miller|6|16|0|"5' 7"""|270 lbs.|No Stat|Southpaw|Jul 16, 1969|1.25|36%|2.16|54%|0.55|25%|60%|0.0
Cole Miller|21|11|0|"6' 1"""|145 lbs.|"73"""|Orthodox|Apr 26, 1984|3.00|33%|3.88|59%|0.60|36%|38%|1.8
Phillip Miller|16|0|0|"5' 11"""|185 lbs.|No Stat|Orthodox|Feb 20, 1979|1.61|54%|1.93|50%|3.62|25%|100%|0.6
Jason Miller|23|10|0|"6' 1"""|185 lbs.|No Stat|Orthodox|Dec 24, 1980|1.83|43%|2.30|49%|1.31|28%|43%|1.3
Curtis Millender|17|5|0|"6' 2"""|170 lbs.|"76"""|Orthodox|Dec 01, 1987|3.86|46%|2.95|61%|0.43|100%|57%|0.0
Billy Miles|2|2|0|"5' 10"""|170 lbs.|No Stat|Orthodox|Apr 28, 1978|0.00|0%|1.25|33%|0.00|0%|0%|0.0
Pat Miletich|29|7|2|"5' 10"""|170 lbs.|No Stat|Orthodox|Mar 09, 1968|1.79|45%|1.66|63%|1.96|100%|54%|1.0
Jim Miller|33|16|0|"5' 8"""|155 lbs.|"71"""|Southpaw|Aug 30, 1983|2.70|41%|2.92|59%|1.64|43%|47%|1.8
Bojan Mihajlovic|10|6|0|"5' 11"""|205 lbs.|"73"""|Orthodox|Mar 30, 1980|1.23|35%|5.95|47%|0.00|0%|33%|0.0
